,KINSHASA,BANDUNDU,BASCONGO,EQUATEUR,KASAIOCCIDENTAL,KATANGA,MANIEMA,NORDKIVU,ORIENTALE,SUDKIVU
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
6,0,3,2,2,2,1,2,0,3,1
7,2,5,3,2,3,4,1,0,4,4
8,2,2,0,7,6,4,2,2,3,4
9,2,3,1,9,10,4,1,2,8,3
10,2,4,2,13,8,3,3,5,9,3
11,4,4,1,10,7,6,0,4,13,7
12,5,12,4,19,6,12,4,6,17,6
13,4,6,3,19,10,4,1,8,11,5
14,6,9,2,24,8,9,0,5,15,11
15,3,10,2,10,7,7,2,8,16,4
16,9,6,1,15,3,6,1,7,7,8
17,9,7,1,28,4,10,3,10,15,6
18,7,8,2,24,3,9,4,4,7,3
19,4,17,6,12,9,6,4,8,7,7
20,4,5,3,14,5,6,3,9,10,5
21,3,9,4,13,5,7,3,9,11,9
22,6,8,3,10,5,9,0,6,9,3
23,2,6,3,10,5,6,1,4,13,5
24,12,7,3,24,4,6,1,4,15,5
25,7,13,4,24,10,10,4,3,17,8
26,9,10,3,15,11,6,2,14,14,6
27,11,12,2,23,5,12,7,5,19,11
28,12,9,2,18,9,12,2,9,12,2
29,4,15,4,20,7,15,6,6,11,9
30,5,8,1,19,7,14,4,10,11,7
31,8,12,8,18,13,9,7,9,14,4
32,4,3,8,11,8,9,1,8,12,6
33,6,14,7,25,4,14,5,8,4,8
34,6,11,5,21,7,3,2,7,9,3
35,2,14,4,12,15,10,1,4,10,9
36,3,11,3,11,13,16,8,7,21,3
37,5,18,2,17,2,9,9,10,25,6
38,9,15,5,14,16,10,7,12,12,6
39,12,16,4,20,12,14,9,11,22,10
40,7,13,4,22,10,14,7,8,12,7
41,4,20,8,20,10,17,4,7,18,7
42,4,18,7,22,7,22,5,2,15,9
43,7,17,6,24,8,16,4,8,11,9
44,1,17,7,19,6,11,7,9,15,11
45,7,12,6,26,6,14,1,8,16,8
46,4,14,1,19,5,10,4,4,16,4
47,3,15,4,18,2,9,4,7,18,4
48,9,9,6,16,10,5,2,6,4,7
49,18,18,5,19,4,9,2,9,14,9
50,9,16,8,27,7,17,4,6,10,7
51,4,13,4,28,5,9,3,12,15,6
52,13,18,2,18,10,8,5,8,19,3
53,9,16,8,20,10,15,11,9,22,11
54,3,22,6,23,5,17,11,10,19,6
55,4,15,7,24,13,8,11,7,12,5
56,4,7,2,20,8,9,4,11,21,6
57,7,19,5,23,11,18,7,12,11,8
58,3,10,5,13,3,9,9,7,15,11
59,8,7,5,26,6,10,1,10,15,10
